
                        S T E P       1


                                INCREMENT     1


 stresses (elem, integ.pnt.,sxx,syy,szz,sxy,sxz,syz) for set SOLIDMATERIALELEMENTGEOMETRY2D and time  0.1000000E+01
       266   8  3.256495E+01 -3.466568E-01 -4.073659E-03 -5.516814E-01  2.762924E-03  2.762925E-03 _shell_0000000266   
       267   1  3.103790E+01  7.759142E-01  9.438322E-02  5.006986E-02  7.801223E-04 -7.801221E-04 _shell_0000000267   
       267   2  2.856833E+01  7.782545E-01  2.018199E-02  5.006797E-02 -7.801213E-04 -7.801219E-04 _shell_0000000267   
       267   3  3.104023E+01  8.361948E-01 -1.328251E-02  5.006978E-02  7.801210E-04  7.801216E-04 _shell_0000000267   
       267   4  2.856598E+01  8.338548E-01 -9.840493E-02  5.006805E-02 -7.801223E-04  7.801220E-04 _shell_0000000267   
       267   5  3.103790E+01  7.759142E-01  9.438322E-02  5.006986E-02 -7.801223E-04  7.801221E-04 _shell_0000000267   
       267   6  2.856833E+01  7.782545E-01  2.018199E-02  5.006797E-02  7.801213E-04  7.801219E-04 _shell_0000000267   
       267   7  3.104023E+01  8.361948E-01 -1.328251E-02  5.006978E-02 -7.801210E-04 -7.801216E-04 _shell_0000000267   
       267   8  2.856598E+01  8.338548E-01 -9.840493E-02  5.006805E-02  7.801223E-04 -7.801220E-04 _shell_0000000267   
       268   1 -1.067633E+01  3.368119E-01  3.027448E-01  6.700817E+00  8.203098E-04 -8.203098E-04 _shell_0000000268   
       268   2 -9.565266E+00  3.343509E-01  1.513567E-01  6.700817E+00 -8.203098E-04 -8.203098E-04 _shell_0000000268   
       268   3 -1.067879E+01  2.369352E-01 -1.709612E-01  6.700817E+00  8.203098E-04  8.203098E-04 _shell_0000000268   
       268   4 -9.562805E+00  2.393961E-01 -3.108650E-01  6.700817E+00 -8.203098E-04  8.203098E-04 _shell_0000000268   
       268   5 -1.067633E+01  3.368119E-01  3.027448E-01  6.700817E+00 -8.203098E-04  8.203098E-04 _shell_0000000268   
       268   6 -9.565266E+00  3.343509E-01  1.513567E-01  6.700817E+00  8.203098E-04  8.203098E-04 _shell_0000000268   
       268   7 -1.067879E+01  2.369352E-01 -1.709612E-01  6.700817E+00 -8.203098E-04 -8.203098E-04 _shell_0000000268   
       268   8 -9.562805E+00  2.393961E-01 -3.108650E-01  6.700817E+00  8.203098E-04 -8.203098E-04 _shell_0000000268   
       269   1 -8.653304E+00  9.685933E-01  3.244475E-01  7.333592E+00  2.457918E-03 -2.457918E-03 _shell_0000000269   
       269   2 -7.676536E+00  9.612196E-01  1.523057E-01  7.333592E+00 -2.457918E-03 -2.457918E-03 _shell_0000000269   
       269   3 -8.660678E+00  7.540299E-01 -2.054484E-01  7.333592E+00  2.457918E-03  2.457918E-03 _shell_0000000269   
       269   4 -7.669163E+00  7.614036E-01 -3.431794E-01  7.333592E+00 -2.457918E-03  2.457918E-03 _shell_0000000269   
       269   5 -8.653304E+00  9.685933E-01  3.244475E-01  7.333592E+00 -2.457918E-03  2.457918E-03 _shell_0000000269   
       269   6 -7.676536E+00  9.612196E-01  1.523057E-01  7.333592E+00  2.457918E-03  2.457918E-03 _shell_0000000269   
       269   7 -8.660678E+00  7.540299E-01 -2.054484E-01  7.333592E+00 -2.457918E-03 -2.457918E-03 _shell_0000000269   
       269   8 -7.669163E+00  7.614036E-01 -3.431794E-01  7.333592E+00  2.457918E-03 -2.457918E-03 _shell_0000000269   
       270   1 -8.440932E+00  9.063565E-01  2.951953E-01  8.490526E+00  2.771865E-03 -2.771865E-03 _shell_0000000270   
       270   2 -7.217205E+00  8.980409E-01  1.464182E-01  8.490526E+00 -2.771865E-03 -2.771865E-03 _shell_0000000270   
       270   3 -8.449248E+00  8.826204E-01 -1.352195E-01  8.490526E+00  2.771865E-03  2.771865E-03 _shell_0000000270   
       270   4 -7.208889E+00  8.909360E-01 -2.451906E-01  8.490526E+00 -2.771865E-03  2.771865E-03 _shell_0000000270   
       270   5 -8.440932E+00  9.063565E-01  2.951953E-01  8.490526E+00 -2.771865E-03  2.771865E-03 _shell_0000000270   
       270   6 -7.217205E+00  8.980409E-01  1.464182E-01  8.490526E+00  2.771865E-03  2.771865E-03 _shell_0000000270   
       270   7 -8.449248E+00  8.826204E-01 -1.352195E-01  8.490526E+00 -2.771865E-03 -2.771865E-03 _shell_0000000270   
       270   8 -7.208889E+00  8.909360E-01 -2.451906E-01  8.490526E+00  2.771865E-03 -2.771865E-03 _shell_0000000270   
       271   1 -6.693254E+00  1.594429E+00 -1.122900E-01  9.142543E+00  4.194534E-03  4.194534E-03 _shell_0000000271   
       271   2 -6.680670E+00  1.573930E+00  2.977640E-01  9.142543E+00  4.194534E-03 -4.194534E-03 _shell_0000000271   
       271   3 -5.817707E+00  1.607013E+00 -2.602824E-01  9.142543E+00 -4.194534E-03  4.194534E-03 _shell_0000000271   
       271   4 -5.830291E+00  1.561346E+00  9.104808E-02  9.142543E+00 -4.194534E-03 -4.194534E-03 _shell_0000000271   
       271   5 -6.693254E+00  1.594429E+00 -1.122900E-01  9.142543E+00 -4.194534E-03 -4.194534E-03 _shell_0000000271   
       271   6 -6.680670E+00  1.573930E+00  2.977640E-01  9.142543E+00 -4.194534E-03  4.194534E-03 _shell_0000000271   
       271   7 -5.817707E+00  1.607013E+00 -2.602824E-01  9.142543E+00  4.194534E-03 -4.194534E-03 _shell_0000000271   
       271   8 -5.830291E+00  1.561346E+00  9.104808E-02  9.142543E+00  4.194534E-03  4.194534E-03 _shell_0000000271   
       272   1 -4.820856E+00  2.264158E+00  3.388196E-01  1.006233E+01  8.086545E-03 -8.086545E-03 _shell_0000000272   
       272   2 -4.600706E+00  2.239899E+00  2.990542E-02  1.006233E+01 -8.086545E-03 -8.086545E-03 _shell_0000000272   
       272   3 -4.845116E+00  2.177563E+00 -1.331189E-01  1.006233E+01  8.086545E-03  8.086545E-03 _shell_0000000272   
       272   4 -4.576446E+00  2.201823E+00 -3.288215E-01  1.006233E+01 -8.086545E-03  8.086545E-03 _shell_0000000272   
       272   5 -4.820856E+00  2.264158E+00  3.388196E-01  1.006233E+01 -8.086545E-03  8.086545E-03 _shell_0000000272   
       272   6 -4.600706E+00  2.239899E+00  2.990542E-02  1.006233E+01  8.086545E-03  8.086545E-03 _shell_0000000272   
       272   7 -4.845116E+00  2.177563E+00 -1.331189E-01  1.006233E+01 -8.086545E-03 -8.086545E-03 _shell_0000000272   
       272   8 -4.576446E+00  2.201823E+00 -3.288215E-01  1.006233E+01  8.086545E-03 -8.086545E-03 _shell_0000000272   
       273   1 -2.400917E+00  1.847893E+00  1.861584E-02  1.046514E+01  1.812376E-03 -1.812376E-03 _shell_0000000273   
       273   2 -4.136287E-01  1.842456E+00  1.064806E-01  1.046514E+01 -1.812376E-03 -1.812376E-03 _shell_0000000273   
       273   3 -2.406354E+00  2.843190E+00  4.770380E-02  1.046514E+01  1.812376E-03  1.812376E-03 _shell_0000000273   
       273   4 -4.081915E-01  2.848627E+00  1.609418E-01  1.046514E+01 -1.812376E-03  1.812376E-03 _shell_0000000273   
       273   5 -2.400917E+00  1.847893E+00  1.861584E-02  1.046514E+01 -1.812376E-03  1.812376E-03 _shell_0000000273   
       273   6 -4.136287E-01  1.842456E+00  1.064806E-01  1.046514E+01  1.812376E-03  1.812376E-03 _shell_0000000273   
       273   7 -2.406354E+00  2.843190E+00  4.770380E-02  1.046514E+01 -1.812376E-03 -1.812376E-03 _shell_0000000273   
       273   8 -4.081915E-01  2.848627E+00  1.609418E-01  1.046514E+01  1.812376E-03 -1.812376E-03 _shell_0000000273   
       274   1 -5.529518E-06 -5.103305E-07 -1.358894E-07  2.573975E-06 -1.778793E-09  1.778793E-09 _shell_0000000274   
       274   2 -5.284146E-06 -5.156669E-07 -2.327707E-07  2.573975E-06  1.778793E-09  1.778793E-09 _shell_0000000274   
       274   3 -5.534854E-06 -7.793216E-08  2.480060E-07  2.573975E-06 -1.778793E-09 -1.778793E-09 _shell_0000000274   
       274   4 -5.278810E-06 -7.259578E-08  1.760279E-07  2.573975E-06  1.778793E-09 -1.778793E-09 _shell_0000000274   
       274   5 -5.529518E-06 -5.103305E-07 -1.358894E-07  2.573975E-06  1.778793E-09 -1.778793E-09 _shell_0000000274   
       274   6 -5.284146E-06 -5.156669E-07 -2.327707E-07  2.573975E-06 -1.778793E-09 -1.778793E-09 _shell_0000000274   
       274   7 -5.534854E-06 -7.793216E-08  2.480060E-07  2.573975E-06  1.778793E-09  1.778793E-09 _shell_0000000274   
       274   8 -5.278810E-06 -7.259578E-08  1.760279E-07  2.573975E-06 -1.778793E-09  1.778793E-09 _shell_0000000274   
       275   1 -3.764407E-06 -1.691174E-07  1.408768E-07  2.187728E-06  1.197262E-09 -1.197262E-09 _shell_0000000275   
       275   2 -4.045972E-06 -1.727092E-07  2.355504E-07  2.187728E-06 -1.197262E-09 -1.197262E-09 _shell_0000000275   
       275   3 -3.767999E-06 -5.586208E-07 -2.115900E-07  2.187728E-06  1.197262E-09  1.197262E-09 _shell_0000000275   
       275   4 -4.042380E-06 -5.550290E-07 -1.001547E-07  2.187728E-06 -1.197262E-09  1.197262E-09 _shell_0000000275   
       275   5 -3.764407E-06 -1.691174E-07  1.408768E-07  2.187728E-06 -1.197262E-09  1.197262E-09 _shell_0000000275   
       275   6 -4.045972E-06 -1.727092E-07  2.355504E-07  2.187728E-06  1.197262E-09  1.197262E-09 _shell_0000000275   
       275   7 -3.767999E-06 -5.586208E-07 -2.115900E-07  2.187728E-06 -1.197262E-09 -1.197262E-09 _shell_0000000275   
       275   8 -4.042380E-06 -5.550290E-07 -1.001547E-07  2.187728E-06  1.197262E-09 -1.197262E-09 _shell_0000000275   
       276   1 -5.810395E-06 -4.915180E-07  1.405254E-07  4.133611E-06  1.592049E-09 -1.592049E-09 _shell_0000000276   
       276   2 -5.822068E-06 -4.962941E-07  2.563742E-07  4.133611E-06 -1.592049E-09 -1.592049E-09 _shell_0000000276   
       276   3 -5.815171E-06 -9.661763E-07 -2.462501E-07  4.133611E-06  1.592049E-09  1.592049E-09 _shell_0000000276   
       276   4 -5.817292E-06 -9.614002E-07 -1.081127E-07  4.133611E-06 -1.592049E-09  1.592049E-09 _shell_0000000276   
       276   5 -5.810395E-06 -4.915180E-07  1.405254E-07  4.133611E-06 -1.592049E-09  1.592049E-09 _shell_0000000276   
       276   6 -5.822068E-06 -4.962941E-07  2.563742E-07  4.133611E-06  1.592049E-09  1.592049E-09 _shell_0000000276   
       276   7 -5.815171E-06 -9.661763E-07 -2.462501E-07  4.133611E-06 -1.592049E-09 -1.592049E-09 _shell_0000000276   
       276   8 -5.817292E-06 -9.614002E-07 -1.081127E-07  4.133611E-06  1.592049E-09 -1.592049E-09 _shell_0000000276   
       277   1 -4.374495E-06 -1.106096E-06 -2.360614E-07  3.562505E-06  1.160819E-09  1.160819E-09 _shell_0000000277   
       277   2 -4.371013E-06 -6.733717E-07  1.079108E-07  3.562505E-06  1.160819E-09 -1.160819E-09 _shell_0000000277   
       277   3 -4.375006E-06 -1.102613E-06 -7.527728E-08  3.562505E-06 -1.160819E-09  1.160819E-09 _shell_0000000277   
       277   4 -4.378489E-06 -6.768542E-07  2.524435E-07  3.562505E-06 -1.160819E-09 -1.160819E-09 _shell_0000000277   
       277   5 -4.374495E-06 -1.106096E-06 -2.360614E-07  3.562505E-06 -1.160819E-09 -1.160819E-09 _shell_0000000277   
       277   6 -4.371013E-06 -6.733717E-07  1.079108E-07  3.562505E-06 -1.160819E-09  1.160819E-09 _shell_0000000277   
       277   7 -4.375006E-06 -1.102613E-06 -7.527728E-08  3.562505E-06  1.160819E-09 -1.160819E-09 _shell_0000000277   
       277   8 -4.378489E-06 -6.768542E-07  2.524435E-07  3.562505E-06  1.160819E-09  1.160819E-09 _shell_0000000277   
       278   1  3.248855E+01 -8.049476E-01 -1.288368E-02 -5.895594E-01 -4.159800E-03  4.159800E-03 _shell_0000000278   
       278   2  3.515950E+01 -7.924682E-01 -9.393126E-03 -5.895593E-01  4.159799E-03  4.159800E-03 _shell_0000000278   
       278   3  3.250103E+01 -1.484502E+00  1.952260E-02 -5.895594E-01 -4.159799E-03 -4.159800E-03 _shell_0000000278   
       278   4  3.514702E+01 -1.496981E+00 -3.522409E-02 -5.895593E-01  4.159800E-03 -4.159800E-03 _shell_0000000278   
       278   5  3.248855E+01 -8.049476E-01 -1.288368E-02 -5.895594E-01  4.159800E-03 -4.159800E-03 _shell_0000000278   
       278   6  3.515950E+01 -7.924682E-01 -9.393126E-03 -5.895593E-01 -4.159799E-03 -4.159800E-03 _shell_0000000278   
       278   7  3.250103E+01 -1.484502E+00  1.952260E-02 -5.895594E-01  4.159799E-03  4.159800E-03 _shell_0000000278   
       278   8  3.514702E+01 -1.496981E+00 -3.522409E-02 -5.895593E-01 -4.159800E-03  4.159800E-03 _shell_0000000278   
       279   1  3.054521E+01 -1.681408E+00 -2.018672E-02 -5.765972E-01  6.039115E-03 -6.039115E-03 _shell_0000000279   
       279   2  2.797913E+01 -1.663290E+00  2.654316E-02 -5.765973E-01 -6.039115E-03 -6.039115E-03 _shell_0000000279   
       279   3  3.056332E+01 -7.087123E-01  5.704312E-03 -5.765972E-01  6.039114E-03  6.039115E-03 _shell_0000000279   
       279   4  2.796101E+01 -7.268297E-01 -3.211339E-02 -5.765973E-01 -6.039115E-03  6.039115E-03 _shell_0000000279   
       279   5  3.054521E+01 -1.681408E+00 -2.018672E-02 -5.765972E-01 -6.039115E-03  6.039115E-03 _shell_0000000279   
       279   6  2.797913E+01 -1.663290E+00  2.654316E-02 -5.765973E-01  6.039115E-03  6.039115E-03 _shell_0000000279   
       279   7  3.056332E+01 -7.087123E-01  5.704312E-03 -5.765972E-01 -6.039114E-03 -6.039115E-03 _shell_0000000279   
       279   8  2.796101E+01 -7.268297E-01 -3.211339E-02 -5.765973E-01  6.039115E-03 -6.039115E-03 _shell_0000000279   
       280   1  3.071988E+01  3.908365E-01  4.435705E-03 -3.526422E-01  3.130160E-03  3.130160E-03 _shell_0000000280   
       280   2  3.071049E+01 -1.337888E-01  4.831049E-02 -3.526422E-01  3.130161E-03 -3.130161E-03 _shell_0000000280   
       280   3  2.804100E+01  3.814461E-01 -1.211908E-01 -3.526425E-01 -3.130161E-03  3.130161E-03 _shell_0000000280   
       280   4  2.805040E+01 -1.243983E-01 -3.349383E-02 -3.526425E-01 -3.130160E-03 -3.130161E-03 _shell_0000000280   
       280   5  3.071988E+01  3.908365E-01  4.435705E-03 -3.526422E-01 -3.130160E-03 -3.130160E-03 _shell_0000000280   
       280   6  3.071049E+01 -1.337888E-01  4.831049E-02 -3.526422E-01 -3.130161E-03  3.130161E-03 _shell_0000000280   
       280   7  2.804100E+01  3.814461E-01 -1.211908E-01 -3.526425E-01  3.130161E-03 -3.130161E-03 _shell_0000000280   
       280   8  2.805040E+01 -1.243983E-01 -3.349383E-02 -3.526425E-01  3.130160E-03  3.130161E-03 _shell_0000000280   
       281   1  3.144322E+01  9.849758E-01  8.272204E-02  3.281148E-01 -1.357161E-03  1.357158E-03 _shell_0000000281   
       281   2  2.906091E+01  9.809041E-01  2.685868E-02  3.281071E-01  1.357153E-03  1.357157E-03 _shell_0000000281   
       281   3  3.143912E+01  8.013858E-01 -3.708590E-02  3.281141E-01 -1.357151E-03 -1.357155E-03 _shell_0000000281   
       281   4  2.906496E+01  8.054585E-01 -7.394701E-02  3.281069E-01  1.357161E-03 -1.357158E-03 _shell_0000000281   
       281   5  3.144322E+01  9.849758E-01  8.272204E-02  3.281148E-01  1.357161E-03 -1.357158E-03 _shell_0000000281   
       281   6  2.906091E+01  9.809041E-01  2.685868E-02  3.281071E-01 -1.357153E-03 -1.357157E-03 _shell_0000000281   
       281   7  3.143912E+01  8.013858E-01 -3.708590E-02  3.281141E-01  1.357151E-03  1.357155E-03 _shell_0000000281   
       281   8  2.906496E+01  8.054585E-01 -7.394701E-02  3.281069E-01 -1.357161E-03  1.357158E-03 _shell_0000000281   
       282   1  2.415552E+01  4.053148E-01  1.876305E-02  2.505867E-02 -6.856523E-03 -6.856523E-03 _shell_0000000282   
       282   2  2.413495E+01  9.492918E-01 -1.701715E-01  2.505870E-02 -6.856524E-03  6.856524E-03 _shell_0000000282   
       282   3  2.644717E+01  3.847452E-01  1.139497E-01  2.505885E-02  6.856524E-03 -6.856524E-03 _shell_0000000282   
       282   4  2.646774E+01  9.698614E-01  2.100636E-02  2.505886E-02  6.856523E-03  6.856523E-03 _shell_0000000282   
       282   5  2.415552E+01  4.053148E-01  1.876305E-02  2.505867E-02  6.856523E-03  6.856523E-03 _shell_0000000282   
       282   6  2.413495E+01  9.492918E-01 -1.701715E-01  2.505870E-02  6.856524E-03 -6.856524E-03 _shell_0000000282   
       282   7  2.644717E+01  3.847452E-01  1.139497E-01  2.505885E-02 -6.856524E-03  6.856524E-03 _shell_0000000282   
       282   8  2.646774E+01  9.698614E-01  2.100636E-02  2.505886E-02 -6.856523E-03 -6.856523E-03 _shell_0000000282   
       283   1  2.698053E+01  1.313128E+00  1.348108E-01  6.582440E-01 -5.639661E-03  5.639660E-03 _shell_0000000283   
       283   2  2.461147E+01  1.296209E+00 -7.078323E-02  6.582428E-01  5.639656E-03  5.639659E-03 _shell_0000000283   
       283   3  2.696361E+01  1.095293E+00 -5.168025E-02  6.582440E-01 -5.639655E-03 -5.639659E-03 _shell_0000000283   
       283   4  2.462838E+01  1.112212E+00 -1.783190E-01  6.582428E-01  5.639662E-03 -5.639660E-03 _shell_0000000283   
       283   5  2.698053E+01  1.313128E+00  1.348108E-01  6.582440E-01  5.639661E-03 -5.639660E-03 _shell_0000000283   
       283   6  2.461147E+01  1.296209E+00 -7.078323E-02  6.582428E-01 -5.639656E-03 -5.639659E-03 _shell_0000000283   
       283   7  2.696361E+01  1.095293E+00 -5.168025E-02  6.582440E-01  5.639655E-03  5.639659E-03 _shell_0000000283   
       283   8  2.462838E+01  1.112212E+00 -1.783190E-01  6.582428E-01 -5.639662E-03  5.639660E-03 _shell_0000000283   
       284   1  2.373212E+01  2.212276E+00  2.991354E-01  1.751007E+00 -2.317040E-05  2.317039E-05 _shell_0000000284   
       284   2  2.317291E+01  2.212207E+00  6.016897E-01  1.751007E+00  2.317038E-05  2.317039E-05 _shell_0000000284   
       284   3  2.373205E+01  1.025716E+00 -9.271013E-02  1.751007E+00 -2.317038E-05 -2.317039E-05 _shell_0000000284   
       284   4  2.317297E+01  1.025785E+00  2.101687E-01  1.751007E+00  2.317040E-05 -2.317039E-05 _shell_0000000284   
       284   5  2.373212E+01  2.212276E+00  2.991354E-01  1.751007E+00  2.317040E-05 -2.317039E-05 _shell_0000000284   
       284   6  2.317291E+01  2.212207E+00  6.016897E-01  1.751007E+00 -2.317038E-05 -2.317039E-05 _shell_0000000284   
       284   7  2.373205E+01  1.025716E+00 -9.271013E-02  1.751007E+00  2.317038E-05  2.317038E-05 _shell_0000000284   
       284   8  2.317297E+01  1.025785E+00  2.101687E-01  1.751007E+00 -2.317040E-05  2.317039E-05 _shell_0000000284   
       285   1  2.202854E+01 -2.045015E+00  7.568459E-03 -3.377508E-01  4.506648E-02 -4.506648E-02 _shell_0000000285   
       285   2  2.048917E+01 -1.909815E+00  3.017121E-01 -3.377508E-01 -4.506648E-02 -4.506648E-02 _shell_0000000285   
       285   3  2.216373E+01  5.245282E-01  9.882395E-02 -3.377508E-01  4.506647E-02  4.506648E-02 _shell_0000000285   
       285   4  2.035397E+01  3.893288E-01 -2.379630E-01 -3.377508E-01 -4.506648E-02  4.506648E-02 _shell_0000000285   
       285   5  2.202854E+01 -2.045015E+00  7.568459E-03 -3.377508E-01 -4.506648E-02  4.506648E-02 _shell_0000000285   
       285   6  2.048917E+01 -1.909815E+00  3.017121E-01 -3.377508E-01  4.506648E-02  4.506648E-02 _shell_0000000285   
       285   7  2.216373E+01  5.245282E-01  9.882395E-02 -3.377508E-01 -4.506647E-02 -4.506648E-02 _shell_0000000285   
