
                        S T E P       1


                                INCREMENT     1


 stresses (elem, integ.pnt.,sxx,syy,szz,sxy,sxz,syz) for set SOLIDMATERIALELEMENTGEOMETRY2D and time  0.1000000E+01
       266   8  3.254425E+01 -5.051346E-01  5.863152E-02  3.006540E+00 -5.410109E-04 -5.410110E-04 _shell_0000000266   
       267   1  3.109189E+01 -7.868717E-01  1.376061E-02  3.136086E+00 -5.132336E-04  5.132334E-04 _shell_0000000267   
       267   2  2.879809E+01 -7.884117E-01  5.888819E-02  3.136085E+00  5.132329E-04  5.132333E-04 _shell_0000000267   
       267   3  3.109034E+01 -9.337322E-01 -6.061445E-02  3.136085E+00 -5.132327E-04 -5.132331E-04 _shell_0000000267   
       267   4  2.879963E+01 -9.321925E-01 -8.301121E-03  3.136084E+00  5.132336E-04 -5.132334E-04 _shell_0000000267   
       267   5  3.109189E+01 -7.868717E-01  1.376061E-02  3.136086E+00  5.132336E-04 -5.132334E-04 _shell_0000000267   
       267   6  2.879809E+01 -7.884117E-01  5.888819E-02  3.136085E+00 -5.132329E-04 -5.132333E-04 _shell_0000000267   
       267   7  3.109034E+01 -9.337322E-01 -6.061445E-02  3.136085E+00  5.132327E-04  5.132331E-04 _shell_0000000267   
       267   8  2.879963E+01 -9.321925E-01 -8.301121E-03  3.136084E+00 -5.132336E-04  5.132334E-04 _shell_0000000267   
       268   1 -1.199992E+01  1.564683E-01  2.421410E-02  4.653866E+00  4.060911E-04 -4.060911E-04 _shell_0000000268   
       268   2 -1.020462E+01  1.552500E-01  1.980819E-02  4.653866E+00 -4.060911E-04 -4.060911E-04 _shell_0000000268   
       268   3 -1.200114E+01  1.063854E-01 -2.229751E-02  4.653866E+00  4.060911E-04  4.060911E-04 _shell_0000000268   
       268   4 -1.020340E+01  1.076037E-01 -2.101814E-02  4.653866E+00 -4.060911E-04  4.060911E-04 _shell_0000000268   
       268   5 -1.199992E+01  1.564683E-01  2.421410E-02  4.653866E+00 -4.060911E-04  4.060911E-04 _shell_0000000268   
       268   6 -1.020462E+01  1.552500E-01  1.980819E-02  4.653866E+00  4.060911E-04  4.060911E-04 _shell_0000000268   
       268   7 -1.200114E+01  1.063854E-01 -2.229751E-02  4.653866E+00 -4.060911E-04 -4.060911E-04 _shell_0000000268   
       268   8 -1.020340E+01  1.076037E-01 -2.101814E-02  4.653866E+00  4.060911E-04 -4.060911E-04 _shell_0000000268   
       269   1 -1.181242E+01  1.470343E-01  2.391738E-02  4.660217E+00  4.086885E-04 -4.086885E-04 _shell_0000000269   
       269   2 -1.004159E+01  1.458082E-01  1.949030E-02  4.660217E+00 -4.086885E-04 -4.086885E-04 _shell_0000000269   
       269   3 -1.181364E+01  9.717166E-02 -2.202499E-02  4.660217E+00  4.086885E-04  4.086885E-04 _shell_0000000269   
       269   4 -1.004037E+01  9.839773E-02 -2.073044E-02  4.660217E+00 -4.086885E-04  4.086885E-04 _shell_0000000269   
       269   5 -1.181242E+01  1.470343E-01  2.391738E-02  4.660217E+00 -4.086885E-04  4.086885E-04 _shell_0000000269   
       269   6 -1.004159E+01  1.458082E-01  1.949030E-02  4.660217E+00  4.086885E-04  4.086885E-04 _shell_0000000269   
       269   7 -1.181364E+01  9.717166E-02 -2.202499E-02  4.660217E+00 -4.086885E-04 -4.086885E-04 _shell_0000000269   
       269   8 -1.004037E+01  9.839773E-02 -2.073044E-02  4.660217E+00  4.086885E-04 -4.086885E-04 _shell_0000000269   
       270   1 -8.884597E+00  1.562163E-01  1.864212E-02  4.809022E+00  4.124453E-04 -4.124453E-04 _shell_0000000270   
       270   2 -7.085284E+00  1.549790E-01  1.480515E-02  4.809022E+00 -4.124453E-04 -4.124453E-04 _shell_0000000270   
       270   3 -8.885835E+00  1.168032E-01 -1.733503E-02  4.809022E+00  4.124453E-04  4.124453E-04 _shell_0000000270   
       270   4 -7.084047E+00  1.180406E-01 -1.539777E-02  4.809022E+00 -4.124453E-04  4.124453E-04 _shell_0000000270   
       270   5 -8.884597E+00  1.562163E-01  1.864212E-02  4.809022E+00 -4.124453E-04  4.124453E-04 _shell_0000000270   
       270   6 -7.085284E+00  1.549790E-01  1.480515E-02  4.809022E+00  4.124453E-04  4.124453E-04 _shell_0000000270   
       270   7 -8.885835E+00  1.168032E-01 -1.733503E-02  4.809022E+00 -4.124453E-04 -4.124453E-04 _shell_0000000270   
       270   8 -7.084047E+00  1.180406E-01 -1.539777E-02  4.809022E+00  4.124453E-04 -4.124453E-04 _shell_0000000270   
       271   1 -8.740857E+00  1.076490E-01 -1.702997E-02  4.812968E+00  4.141249E-04  4.141249E-04 _shell_0000000271   
       271   2 -8.739614E+00  1.469307E-01  1.836048E-02  4.812968E+00  4.141249E-04 -4.141249E-04 _shell_0000000271   
       271   3 -6.964032E+00  1.088914E-01 -1.512650E-02  4.812968E+00 -4.141249E-04  4.141249E-04 _shell_0000000271   
