
                        S T E P       1


                                INCREMENT     1


 internal energy density (elem, integ.pnt.,energy) for set SOLIDMATERIALELEMENTGEOMETRY2D and time  0.1000000E+01

       261   1  1.103661E-02
       261   2  1.102049E-02
       261   3  1.006272E-02
       261   4  1.004815E-02
       261   5  1.103661E-02
       261   6  1.102049E-02
       261   7  1.006272E-02
       261   8  1.004815E-02
       262   1  9.360779E-03
       262   2  9.376116E-03
       262   3  8.466169E-03
       262   4  8.479691E-03
       262   5  9.360779E-03
       262   6  9.376116E-03
       262   7  8.466169E-03
       262   8  8.479691E-03
       263   1  7.840127E-03
       263   2  7.850471E-03
       263   3  7.022242E-03
       263   4  7.031289E-03
       263   5  7.840127E-03
       263   6  7.850471E-03
       263   7  7.022242E-03
       263   8  7.031289E-03
       264   1  9.363437E-03
       264   2  8.470003E-03
       264   3  9.354985E-03
       264   4  8.462531E-03
       264   5  9.363437E-03
       264   6  8.470003E-03
       264   7  9.354985E-03
       264   8  8.462531E-03
       265   1  7.832899E-03
       265   2  7.839465E-03
       265   3  7.017982E-03
       265   4  7.023737E-03
       265   5  7.832899E-03
       265   6  7.839465E-03
       265   7  7.017982E-03
       265   8  7.023737E-03
       266   1  4.087015E-03
       266   2  4.087020E-03
       266   3  3.504766E-03
       266   4  3.504771E-03
       266   5  4.087015E-03
       266   6  4.087020E-03
       266   7  3.504766E-03
       266   8  3.504771E-03
       267   1  2.011802E-08
       267   2  2.291346E-08
       267   3  2.052000E-08
       267   4  2.334510E-08
       267   5  2.011802E-08
       267   6  2.291346E-08
       267   7  2.052000E-08
       267   8  2.334510E-08
       268   1  4.013081E-08
       268   2  4.008662E-08
       268   3  4.073226E-08
       268   4  4.068763E-08
       268   5  4.013081E-08
       268   6  4.008662E-08
       268   7  4.073226E-08
       268   8  4.068763E-08
       269   1  4.066521E-08
       269   2  4.067329E-08
       269   3  4.104266E-08
       269   4  4.105082E-08
       269   5  4.066521E-08
       269   6  4.067329E-08
       269   7  4.104266E-08
       269   8  4.105082E-08
       270   1  3.964011E-08
       270   2  3.973028E-08
       270   3  4.004606E-08
       270   4  4.013688E-08
       270   5  3.964011E-08
       270   6  3.973028E-08
       270   7  4.004606E-08
       270   8  4.013688E-08
       271   1  4.042024E-08
       271   2  4.020965E-08
       271   3  4.037976E-08
       271   4  4.016925E-08
       271   5  4.042024E-08
       271   6  4.020965E-08
       271   7  4.037976E-08
       271   8  4.016925E-08
       272   1  3.992173E-08
       272   2  3.977309E-08
       272   3  4.010369E-08
       272   4  3.995473E-08
       272   5  3.992173E-08
       272   6  3.977309E-08
       272   7  4.010369E-08
       272   8  3.995473E-08
       273   1  3.962957E-08
       273   2  3.969001E-08
       273   3  3.932813E-08
       273   4  3.938832E-08
       273   5  3.962957E-08
       273   6  3.969001E-08
       273   7  3.932813E-08
       273   8  3.938832E-08
       274   1  6.499255E-11
       274   2  4.989686E-11
       274   3  6.885778E-11
       274   4  5.253234E-11
       274   5  6.499255E-11
       274   6  4.989686E-11
       274   7  6.885778E-11
       274   8  5.253234E-11
       275   1  2.117963E-11
       275   2  3.003170E-11
       275   3  2.028044E-11
       275   4  2.831187E-11
       275   5  2.117963E-11
       275   6  3.003170E-11
       275   7  2.028044E-11
       275   8  2.831187E-11
       276   1  1.444019E-10
       276   2  1.559422E-10
       276   3  1.407666E-10
       276   4  1.514657E-10
       276   5  1.444019E-10
       276   6  1.559422E-10
       276   7  1.407666E-10
       276   8  1.514657E-10
       277   1  7.166537E-11
       277   2  7.331732E-11
       277   3  7.812243E-11
       277   4  8.038163E-11
       277   5  7.166537E-11
       277   6  7.331732E-11
       277   7  7.812243E-11
       277   8  8.038163E-11
       278   1  3.504764E-03
       278   2  4.086991E-03
       278   3  3.504758E-03
       278   4  4.086984E-03
       278   5  3.504764E-03
       278   6  4.086991E-03
       278   7  3.504758E-03
       278   8  4.086984E-03
       279   1  2.061384E-08
       279   2  2.314969E-08
       279   3  2.105449E-08
       279   4  2.362325E-08
       279   5  2.061384E-08
       279   6  2.314969E-08
       279   7  2.105449E-08
       279   8  2.362325E-08
       280   1  2.075296E-08
       280   2  2.033310E-08
       280   3  2.345013E-08
       280   4  2.299909E-08
       280   5  2.075296E-08
       280   6  2.033310E-08
       280   7  2.345013E-08
       280   8  2.299909E-08
       281   1  1.996171E-08
       281   2  2.288670E-08
       281   3  2.034628E-08
       281   4  2.329949E-08
       281   5  1.996171E-08
       281   6  2.288670E-08
       281   7  2.034628E-08
       281   8  2.329949E-08
       282   1  2.384093E-08
       282   2  2.433005E-08
       282   3  2.478568E-08
       282   4  2.529468E-08
       282   5  2.384093E-08
       282   6  2.433005E-08
       282   7  2.478568E-08
       282   8  2.529468E-08
       283   1  2.482380E-08
       283   2  2.381482E-08
       283   3  2.531899E-08
       283   4  2.429102E-08
       283   5  2.482380E-08
       283   6  2.381482E-08
       283   7  2.531899E-08
       283   8  2.429102E-08
       284   1  2.419956E-08
       284   2  2.465488E-08
       284   3  2.466980E-08
       284   4  2.513174E-08
       284   5  2.419956E-08
       284   6  2.465488E-08
       284   7  2.466980E-08
       284   8  2.513174E-08
       285   1  2.421157E-08
       285   2  2.463863E-08
       285   3  2.469520E-08
       285   4  2.512967E-08
       285   5  2.421157E-08
       285   6  2.463863E-08
       285   7  2.469520E-08
       285   8  2.512967E-08
       286   1  2.464439E-08
       286   2  2.416851E-08
       286   3  2.509093E-08
       286   4  2.460806E-08
       286   5  2.464439E-08
       286   6  2.416851E-08
       286   7  2.509093E-08
       286   8  2.460806E-08
       287   1  2.584902E-08
       287   2  2.536172E-08
       287   3  2.586884E-08
       287   4  2.538136E-08
       287   5  2.584902E-08
       287   6  2.536172E-08
       287   7  2.586884E-08
       287   8  2.538136E-08
       288   1  6.731452E-09
       288   2  6.723719E-09
       288   3  7.718862E-09
       288   4  7.234325E-09
       288   5  6.731452E-09
       288   6  6.723719E-09
       288   7  7.718862E-09
       288   8  7.234325E-09
       289   1  2.870882E-08
       289   2  2.703129E-08
       289   3  2.953893E-08
       289   4  2.780675E-08
       289   5  2.870882E-08
       289   6  2.703129E-08
       289   7  2.953893E-08
       289   8  2.780675E-08
       290   1  5.232933E-03
       290   2  4.910672E-03
       290   3  4.674440E-03
       290   4  4.229489E-03
       290   5  5.232933E-03
       290   6  4.910672E-03
       290   7  4.674440E-03
       290   8  4.229489E-03
