
                        S T E P       1


                                INCREMENT     1


 stresses (elem, integ.pnt.,sxx,syy,szz,sxy,sxz,syz) for set SOLIDMATERIALELEMENTGEOMETRY2D and time  0.1000000E+01
       266   8  3.295674E+01  1.503597E-01 -4.059951E-02 -3.609891E-01  1.502896E-03  1.502896E-03 _shell_0000000266   
       267   1  3.169300E+01  1.112546E+00  1.100291E-01  4.463467E-01 -2.390120E-03  2.390119E-03 _shell_0000000267   
       267   2  2.935019E+01  1.105376E+00 -3.272691E-03  4.463450E-01  2.390117E-03  2.390119E-03 _shell_0000000267   
       267   3  3.168582E+01  8.891578E-01 -2.188146E-02  4.463465E-01 -2.390116E-03 -2.390118E-03 _shell_0000000267   
       267   4  2.935735E+01  8.963285E-01 -1.017211E-01  4.463450E-01  2.390120E-03 -2.390119E-03 _shell_0000000267   
       267   5  3.169300E+01  1.112546E+00  1.100291E-01  4.463467E-01  2.390120E-03 -2.390119E-03 _shell_0000000267   
       267   6  2.935019E+01  1.105376E+00 -3.272691E-03  4.463450E-01 -2.390117E-03 -2.390119E-03 _shell_0000000267   
       267   7  3.168582E+01  8.891578E-01 -2.188146E-02  4.463465E-01  2.390116E-03  2.390118E-03 _shell_0000000267   
       267   8  2.935735E+01  8.963285E-01 -1.017211E-01  4.463450E-01 -2.390120E-03  2.390119E-03 _shell_0000000267   
       268   1 -1.217870E+01  7.913111E-01  2.797962E-01  6.338837E+00  4.637788E-04 -4.637788E-04 _shell_0000000268   
       268   2 -1.077282E+01  7.899198E-01  1.796896E-01  6.338837E+00 -4.637788E-04 -4.637788E-04 _shell_0000000268   
       268   3 -1.218009E+01  5.515702E-01 -1.744319E-01  6.338837E+00  4.637788E-04  4.637788E-04 _shell_0000000268   
       268   4 -1.077142E+01  5.529615E-01 -2.680456E-01  6.338837E+00 -4.637788E-04  4.637788E-04 _shell_0000000268   
       268   5 -1.217870E+01  7.913111E-01  2.797962E-01  6.338837E+00 -4.637788E-04  4.637788E-04 _shell_0000000268   
       268   6 -1.077282E+01  7.899198E-01  1.796896E-01  6.338837E+00  4.637788E-04  4.637788E-04 _shell_0000000268   
       268   7 -1.218009E+01  5.515702E-01 -1.744319E-01  6.338837E+00 -4.637788E-04 -4.637788E-04 _shell_0000000268   
       268   8 -1.077142E+01  5.529615E-01 -2.680456E-01  6.338837E+00  4.637788E-04 -4.637788E-04 _shell_0000000268   
       269   1 -1.035653E+01  1.142390E+00  2.708801E-01  6.731321E+00  1.334353E-03 -1.334353E-03 _shell_0000000269   
       269   2 -8.983752E+00  1.138387E+00  1.717277E-01  6.731321E+00 -1.334353E-03 -1.334353E-03 _shell_0000000269   
       269   3 -1.036054E+01  8.693607E-01 -1.925861E-01  6.731321E+00  1.334353E-03  1.334353E-03 _shell_0000000269   
       269   4 -8.979749E+00  8.733637E-01 -2.730576E-01  6.731321E+00 -1.334353E-03  1.334353E-03 _shell_0000000269   
       269   5 -1.035653E+01  1.142390E+00  2.708801E-01  6.731321E+00 -1.334353E-03  1.334353E-03 _shell_0000000269   
       269   6 -8.983752E+00  1.138387E+00  1.717277E-01  6.731321E+00  1.334353E-03  1.334353E-03 _shell_0000000269   
       269   7 -1.036054E+01  8.693607E-01 -1.925861E-01  6.731321E+00 -1.334353E-03 -1.334353E-03 _shell_0000000269   
       269   8 -8.979749E+00  8.733637E-01 -2.730576E-01  6.731321E+00  1.334353E-03 -1.334353E-03 _shell_0000000269   
       270   1 -9.509832E+00  1.139884E+00  2.651688E-01  8.103429E+00  2.903752E-03 -2.903752E-03 _shell_0000000270   
       270   2 -7.905274E+00  1.131173E+00  1.769145E-01  8.103429E+00 -2.903752E-03 -2.903752E-03 _shell_0000000270   
       270   3 -9.518544E+00  9.138964E-01 -1.694870E-01  8.103429E+00  2.903752E-03  2.903752E-03 _shell_0000000270   
       270   4 -7.896562E+00  9.226077E-01 -2.170887E-01  8.103429E+00 -2.903752E-03  2.903752E-03 _shell_0000000270   
       270   5 -9.509832E+00  1.139884E+00  2.651688E-01  8.103429E+00 -2.903752E-03  2.903752E-03 _shell_0000000270   
       270   6 -7.905274E+00  1.131173E+00  1.769145E-01  8.103429E+00  2.903752E-03  2.903752E-03 _shell_0000000270   
       270   7 -9.518544E+00  9.138964E-01 -1.694870E-01  8.103429E+00 -2.903752E-03 -2.903752E-03 _shell_0000000270   
       270   8 -7.896562E+00  9.226077E-01 -2.170887E-01  8.103429E+00  2.903752E-03 -2.903752E-03 _shell_0000000270   
       271   1 -7.812695E+00  1.306499E+00 -1.507334E-01  8.420994E+00  3.119764E-03  3.119764E-03 _shell_0000000271   
       271   2 -7.803335E+00  1.469119E+00  2.503843E-01  8.420994E+00  3.119764E-03 -3.119764E-03 _shell_0000000271   
       271   3 -6.420616E+00  1.315859E+00 -2.117365E-01  8.420994E+00 -3.119764E-03  3.119764E-03 _shell_0000000271   
       271   4 -6.429975E+00  1.459760E+00  1.457045E-01  8.420994E+00 -3.119764E-03 -3.119764E-03 _shell_0000000271   
       271   5 -7.812695E+00  1.306499E+00 -1.507334E-01  8.420994E+00 -3.119764E-03 -3.119764E-03 _shell_0000000271   
       271   6 -7.803335E+00  1.469119E+00  2.503843E-01  8.420994E+00 -3.119764E-03  3.119764E-03 _shell_0000000271   
       271   7 -6.420616E+00  1.315859E+00 -2.117365E-01  8.420994E+00  3.119764E-03 -3.119764E-03 _shell_0000000271   
